original	call_entry	net	correct_mean	correct_cnt	fake_always_1	fake_always_3	fake_always_5	fake_correct	fake_correct_1v5	1000	1001	1002	1004	1005	1006	1007	1009	1010	1011	1012	1013	1014	984	986	987	988	992	993	994	995	996	997	998
sample15_4a30a6c03e108b963d0afe692558e3ec.ogg	1001	loss80-0 + delay600-10	1.2857142857143	7	1	3	5	1.2857142857143	1	1	3.1519830833128	1.487	1.404374	1.173	1.524	1.7	1.57	2	1	2.42549	1	1.134	1.1709	1.283888	1.731	1	2.1	1.38526	2.21021	1.71448	1	1.05254	3.9528
sample15_c38cd5c611532af5e79ed0958c415880.ogg	1001	default	5.8636363636364	22	1	3	5	5.8636363636364	5	3.34911	4.4647290633499	4.174	4.588788	3.433	4.925	4.3	3.588	2.82	4.15	4.81432	4.88348	3.761	3.1628	3.645851	4.92	2.258026	3.29	3.78839	5	3.98244	4.5384	3.32487	4.2362
sample16_2ee9c6bcc64a0b6566f8e9ec99b20ada.ogg	984	loss20-0 + rate32kbit	3.7142857142857	7	1	3	5	3.7142857142857	5	2.96798	4.9520447999666	2.353	4.49193	1.543	4.911	2.7	2.321	2.3	1	4.43468	3.41008	1.51	1.3552	1.947145	2.33	2.764496	4.14	4.71547	4.51815	2.38523	5	3.86613	2.2046
sample06_b05e9d0ca9fa03bc46191299c1bae645.ogg	987	loss13-0 + rate44kbit	4.5714285714286	7	1	3	5	4.5714285714286	5	4.43652	1.1382079700901	2.999	3.254297	1.711	3.196	3.3	2.81	5	1	4.73996	4.54734	1.975	1.3113	2.594076	2.746	3.925415	4.29	3.93575	4.6	2.99652	4.9542	4.3134	1.2105
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	1014	loss25-0 + rate25kbit	3	6	1	3	5	3	5	2.14358		1.084	1	1.171	3.174	1.7	1.559	1.8	1	3.6835	1.02894	1.091	1.1175	1.266634	1.715	2.716217	2.79	4.11461	3.20308	1.43402	5	1.83003	5
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	993	loss25-0 + rate25kbit	3.1666666666667	6	1	3	5	3.1666666666667	5	1	1.9316186769974	1.862	2.962824	1.213	3.181	2.3	2.174	1.95	1	3.66294	1.86407	1.32	1.1812	1.524364	1.919	3.123444	3.13	4.27299	2.79005	2.19626	5	3.4548	3.1622
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	1014	loss17-0 + rate28kbit	2.7142857142857	7	1	3	5	2.7142857142857	1	1		2.139	1	1.472	3.308	2.7	2.216	2.82	1	4.00751	1.94161	1.427	1.2204	1.79347	2.181	1		2.63619	2.51997	2.67102	2.6447	3.09811	5
sample06_b2f157ef91eaef1e2778a9b37326e3ef.ogg	992	loss30-0 + delay400-50	0.625	8	1	3	5	0.625	1	1	3.5526767112457	1	1	1.129	4.035	1.7	1.38	2	1	2.61237	1	1.086	1.0264	1.181867	1.667	1	2.47	4.33026	2.26726	1.82642	2.9273	1.68499	4.633
sample15_75836e80be4f3370e27e3f17bbce3433.ogg	1012	loss22-0 + rate19kbit	2.4285714285714	7	1	3	5	2.4285714285714	1	1	3.1538207682957	1.614	4.408164	1.231	3.19	2.3	1.813	2.4	1	3.12863	1.31902	1.225	1.0413	1.441514	1.838	1	3.29	3.25953	2.61615	2.41948	5	2.38097	1
sample16_5d5ba5774b0b215e83f8099e87cbe7e2.ogg	998	loss30-0 + rate14kbit	1.4285714285714	7	1	3	5	1.4285714285714	1	1	3.2949595348398	1.365	1	1.17	4.265	1.7	1.659	1.91	1	2.12744	1	1.129	1.0388	1.276209	1.768	1	3	4.90424	5	1.57763	4.9657	1.97642	3.1961
sample16_28b7af27b8464f83f547e385893de318.ogg	1013	loss30-0 + rate17kbit	2.4285714285714	7	1	3	5	2.4285714285714	1	1	1.087404461999	1.456	2.742516	1.165	2.102	2.3	1.666	1.7	1	3.02049	1	1.151	1.1009	1.363742	1.802	1		3.66535	2.77861	1.7082	4.5836	1.9846	2.9199
sample16_28b7af27b8464f83f547e385893de318.ogg	988	loss10-0 + rate64kbit	3.6666666666667	6	1	3	5	3.6666666666667	5	1	1.5695394244202	2.891	3.686428	1.785	2.717	3.3	2.557	2.82	1	4.70757	2.8855	1.883	1.5511	2.551376	2.818	4.207062		4.26577	4.30002	3.3882	4.3574	4.17559	5
sample16_2ee9c6bcc64a0b6566f8e9ec99b20ada.ogg	1014	loss25-0 + rate25kbit	2.8333333333333	6	1	3	5	2.8333333333333	1	1		2.238	1	1.418	4.296	2.7	2.329	2.82	1	3.91518	1	1.447	1.1589	1.842138	2.18	1		4.32731	2.93036	2.6139	5	2.71911	4.085
sample05_14ae7b1886265e54e7f2c83d67eb802e.ogg	992	loss20-0 + rate32kbit	3	7	1	3	5	3	5	1.87328	1.1907627001554	2.354	3.836019	1.398	4.417	2.7	2.261	2.9	4.333333	3.62518	3.14595	1.542	1.4063	1.975607	2.218	1.150833	3.62	4.32438	4.49491	2.2941	5	2.88417	5
sample16_28b7af27b8464f83f547e385893de318.ogg	984	loss25-0 + delay500-50	3	7	1	3	5	3	5	1	1.5323597874196	1.911	2.777097	1.279	2.586	2.3	2.146	2.82	1	4.08941	1	1.29	1.0819	1.525713	1.906	2.421478		3.61217	2.24995	2.63536	4.5456	3.06959	4.2227
sample06_b2f157ef91eaef1e2778a9b37326e3ef.ogg	998	loss30-0 + rate17kbit	0	7	1	3	5	0	1	1	3.3205316424853	1	1	1.163	3.96	1.7	1.099	2	1	0	1	1.142	1.035	1.176198	1.718	1	1.14	4.18565	3.19524	1.18394	4.7176	1	
sample17_0d1f6a407f028a451f3a6a90098a9300.ogg	984	loss90-0 + delay700-10	0.57142857142857	7	1	3	5	0.57142857142857	1	1	3.6905204817466	1.81	1	1.195	2.029	2.3	2.104	2	1	2.57948	1	1.188	1.5853	1.380075	1.999	1	2.3	1.68694	2.78869	2.33714	1	1.06309	4.0373
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1001	loss17-0 + rate24kbit	2.8333333333333	6	1	3	5	2.8333333333333	1	1	1.5508744239619	1.437	2.522554	1.186	2.148	2.3	1.927	2	1	3.68352	2.98486	1.187	1.4443	1.346379	1.753	1		3.27188	2.42411	1.54651	5	2.58428	3.0071
sample05_e181863bce6738bace6841b174713716.ogg	1001	default	5.76	25	1	3	5	5.76	5	1	1.6490022538173	3.893	1.857656	2.734	4.955	3.7	3.534	3.56	1	4.95749	5	3.569	2.3631	4.176845	4.603	1	3.38	5	5	3.96297	5	4.15226	5
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	988	loss13-0 + rate48kbit	3.8571428571429	7	1	3	5	3.8571428571429	5	1	3.2364793398155	2.73	1.168493	1.43	3.627	2.7	2.393	4.6	1	4.73626	3.26771	1.643	1.3107	2.112245	2.414	1.525024	4.73	3.10868	3.68175	2.06777	1	3.97069	5
sample15_75836e80be4f3370e27e3f17bbce3433.ogg	1014	loss13-0 + rate44kbit	4	7	1	3	5	4	5	1		2.439	5	1.45	4.384	2.7	2.292	3.08	1	4.39409	4.40549	1.58	1.248	1.979733	2.237	1		3.95419	4.33965	2.42515	5	2.7874	5
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	992	loss25-0 + delay500-50	2.1428571428571	7	1	3	5	2.1428571428571	1	1.77596	1.704670659779	1.439	2.808373	1.184	3.568	1.7	1.586	1.32	1	2.67371	1	1.11	1.1139	1.327747	1.791	1.096672	1.97	4.05072	3.22352	1.68731	5	1.54166	2.831
sample05_ff63f34c691af48ef285649054ab4906.ogg	1009	loss30-0 + rate17kbit	1	6	1	3	5	1	1	1	1.7396495906933	1	3.621767	1.114	2.912	1.7	1.056	2	1	0	1	1.078	1.023	1.16725	1.677	1	4.46	2.4353	3.11531	1.39454	4.6727	1.57432	1
sample05_14ae7b1886265e54e7f2c83d67eb802e.ogg	1009	loss40-0 + rate16kbit	0.38461538461538	13	1	3	5	0.38461538461538	1	1	1.9317854581037	1.193	2.557276	1.178	3.073	2.3	1.629	2.4	1	0	1	1.226	1.1936	1.416183	1.818	1	1.78	3.50699	2.30223	1.49856	5	1.52156	4.8602
sample05_93fd2fb8e32e04fff51eaa1677a471c8.ogg	996	loss40-0 + rate16kbit	1.1666666666667	6	1	3	5	1.1666666666667	1	1	1.5023187122113	1.294	4.398811	1.176	2.601	2.3	1.57	2.4	1	1.5829	1	1.145	1.0686	1.360032	1.697	1	3	2.94384	2.64162	1.91843	4.5789	2.07242	1.8295
sample05_0bb3646f15e8dc61f525f40f2884de57.ogg	987	loss17-0 + rate28kbit	3	7	1	3	5	3	5	3.95719	3.0631145399063	2.399	1	1.29	3.45	2.7	2.117	5	1	4.64789	4.37093	1.543	1.2382	2.04034	2.327	2.942566	4.53	4.44198	4.52352	1.81948	2.4625	3.9506	5
sample06_b2f157ef91eaef1e2778a9b37326e3ef.ogg	1010	loss25-0 + delay500-50	3.7142857142857	7	1	3	5	3.7142857142857	5	2.4134	3.3617225995743	1.575	4.022177	1.217	3.875	2.3	1.787	2.3	1	2.78807	3.52047	1.186	1.0884	1.418731	1.813	2.891006	3.44	4.46866	4.90455	1.61208	3.1045	2.84254	5
sample06_b05e9d0ca9fa03bc46191299c1bae645.ogg	987	default	5.1428571428571	7	1	3	5	5.1428571428571	5	3.38473	1.8935803865753	4.503	3.899568	3.863	4.724	4.3	3.959	5	4.75	4.88986	5	3.988	3.3365	4.496743	5	4.693558	4.44	4.32691	3.97022	4.00685	2.7137	4.76567	5
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1009	loss20-0 + rate32kbit	5.6428571428571	14	1	3	5	5.6428571428571	5	1	1.1647750953829	4.548	3.789919	4.447	4.982	4.3	3.914	5	1	4.99744	5	4.251	3.8361	4.803098	5	3.510056		4.55027	5	4.31502	4.8137	4.77514	1
sample16_28b7af27b8464f83f547e385893de318.ogg	1000	loss80-0 + delay600-10	2.1666666666667	6	1	3	5	2.1666666666667	1	1.24237	1.385792820844	1.713	2.855871	1.213	3.049	2.3	1.736	1.7	1	3.2541	1	1.198	1.1178	1.414882	1.843	2.969406		3.52473	2.39358	1.79118	4.485	2.27964	5
sample05_0bb3646f15e8dc61f525f40f2884de57.ogg	1012	loss25-0 + rate29kbit	4.1428571428571	7	1	3	5	4.1428571428571	5	1	3.782497475251	2.423	1.595434	1.379	4.21	2.7	2.411	2.8	1	3.49979	4.36775	1.661	1.3994	1.969322	2.453	3.10376	4.42	3.69636	4.08167	1.98642	2.6151	3.97951	5
sample17_350b04a3821a66a8bcd78a15588c8191.ogg	1002	loss30-0 + delay400-50	2.125	16	1	3	5	2.125	1	2.52197	3.998377895471	1.98	2.854745	1.324	1.979	2.7	2.109	2.6	1	4.3221	1.39691	1.371	1.0822	1.600842	1.931	1.188568	4.31	1	2.46772	2.87037	1	3.42025	2.6577
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	1009	loss30-0 + rate14kbit	1	6	1	3	5	1	1	1	1.9962029685848	1.06	3.088698	1.138	2.867	1.7	1.225	2	1	0	1	1.092	1.1215	1.228737	1.676	1		2.55943	2.72128	1.76671	5	1	4.0946
sample16_28b7af27b8464f83f547e385893de318.ogg	992	loss40-0 + rate16kbit	0.85714285714286	7	1	3	5	0.85714285714286	1	1	1.4127329455794	1.461	1.075048	1.197	2.198	2.3	1.605	1.5	1	3.1921	1	1.148	1.0452	1.320558	1.765	1		3.64102	3.02791	1.72656	4.1573	1.82768	3.7049
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	993	loss30-0 + rate17kbit	0.71428571428571	7	1	3	5	0.71428571428571	1	1	3.0226869972916	1.269	2.807413	1.121	1.263	1.7	1.159	2	1	0	1	1.102	1.0343	1.377849	1.798	1	3.12	1	2.9309	1.26003	2.5755	1.28605	
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	1001	loss22-0 + rate23kbit	2	6	1	3	5	2	1	1	3.919316593388	1.96	1	1.333	2.683	2.7	2.014	2.4	1	3.53434	1.1774	1.38	1.1316	1.638141	1.99	1	3.77	2.09848	2.66747	2.81499	2.7865	2.43096	2.7247
sample06_08332cdbd86d4f09d30cd81c4f436081.ogg	998	loss13-0 + rate44kbit	4.5714285714286	7	1	3	5	4.5714285714286	5	3.85507	1.0570777521411	2.748	3.778597	1.478	3.056	2.7	2.588	5	1	4.65693	3.59036	1.808	1.88	2.376005	2.629	3.642197	4.29	3.89624	3.69854	2.61389	1	4.32367	5
sample15_64900b3ffd4aa70f5e5d9641952094e8.ogg	1000	loss25-0 + delay500-50	3.6666666666667	6	1	3	5	3.6666666666667	5	1	1.6874575137073	2.489	4.641417	1.476	4.3	2.7	2.315	2.82	1	4.28388	3.12719	1.591	1.1851	2.043543	2.217	3.305115		4.07381	2.3015	2.56352	1	3.43461	1.8989
sample05_14ae7b1886265e54e7f2c83d67eb802e.ogg	1000	loss80-0 + delay600-10	1	7	1	3	5	1	1	1	1.0792744334765	1.315	2.764602	1.486	3.247	2.3	2.767	2	3.875	0.360278	1	1.191	1.3968	1.767507	1.844	1	1.94	3.5365	3.57563	1.70072	5	1	3.1229
sample05_44823b5704b026f2930ad862576bef3c.ogg	996	loss13-0 + rate48kbit	4	7	1	3	5	4	5	1	3.901029119738	2.664	4.24743	1.649	4.587	2.7	2.367	4.04	1	4.80864	4.4586	1.644	1.3499	1.952374	2.398	1.937454	4.98	2.77305	4.42613	2.40606	2.9377	4.28184	4.9759
sample05_e181863bce6738bace6841b174713716.ogg	1001	loss22-0 + rate23kbit	2.3333333333333	6	1	3	5	2.3333333333333	1	1	1.5860782519548	2.036	3.790231	1.266	4.369	2.7	2.337	3.08	1	3.18506	4.68476	1.428	1.1711	1.938895	2.041	1	2.63	3.58869	3.56626	1.76992	5	2.44556	1.3572
sample16_5d5ba5774b0b215e83f8099e87cbe7e2.ogg	1002	loss17-0 + rate28kbit	3.3333333333333	6	1	3	5	3.3333333333333	5	1	3.2964638518533	1.935	1	1.238	4.324	2.3	1.98	2.6	1	3.54419	1	1.302	1.1472	1.641874	2.047	2.315765	4.16	4.8763	5	1.91856	4.9253	3.82621	2.7794
sample15_c38cd5c611532af5e79ed0958c415880.ogg	1000	loss13-0 + rate44kbit	3.8571428571429	7	1	3	5	3.8571428571429	5	4.11045	4.3081415827208	2.787	4.840736	1.435	4.342	3.3	2.523	2.8	1	4.72971	4.42786	1.888	1.2325	2.142828	2.484	3.608276	4.88	3.55645	4.28011	2.75074	2.5721	4.36225	4.3235
sample06_08332cdbd86d4f09d30cd81c4f436081.ogg	1010	loss13-0 + rate44kbit	4.2857142857143	7	1	3	5	4.2857142857143	5	4.0877	1.5187741714231	2.278	3.827194	1.389	2.767	2.7	2.379	4.42	1	4.50492	3.31558	1.497	1.167	2.155562	2.254	3.831589	4.27	4.26251	3.70213	2.24702	1	4.47577	5
sample16_450f0cecc3c7003c6fbc3a10f4712aa4.ogg	988	loss13-0 + rate44kbit	4.8571428571429	7	1	3	5	4.8571428571429	5	2.73576	1.9390628712184	2.992	2.801122	1.831	3.433	3.3	2.742	2.6	1	4.67348	3.71758	2.131	1.4534	2.728877	3.006	3.538406		2.65532	3.93746	2.64747	1	4.40603	1.2505
sample05_ff63f34c691af48ef285649054ab4906.ogg	1000	loss25-0 + delay500-50	1.7142857142857	7	1	3	5	1.7142857142857	1	1	1.4000046021569	1.249	3.78818	1.173	3.585	1.7	1.402	2	1	2.91289	1.48708	1.125	1.0609	1.29167	1.766	1.090942	3.9	2.58072	2.47458	1.56178	4.8456	1.70394	2.4606
sample15_64900b3ffd4aa70f5e5d9641952094e8.ogg	1010	loss30-0 + rate14kbit	2	7	1	3	5	2	1	1	1.2703516014704	1.615	1.730744	1.196	3.279	2.3	1.731	3.08	1	2.89421	1	1.193	1.1043	1.413011	1.808	1		3.7096	2.5705	1.47935	1	1.69457	3.1896
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	988	loss25-0 + delay500-50	1	7	1	3	5	1	1	1	1.9088888311887	1.646	2.330393	1.179	3.147	2.3	1.712	3.08	1	3.23321	1.97498	1.185	1.0593	1.393318	1.786	2.329254	2.55	4.0151	3.19855	1.63424	5	1.85918	5
sample15_75836e80be4f3370e27e3f17bbce3433.ogg	1010	loss22-0 + rate19kbit	2	6	1	3	5	2	1	1	3.9819817135415	1.778	3.837172	1.227	3.268	2.3	1.854	2.82	1	2.78344	1.0039	1.264	1.0872	1.505414	1.845	1.727753	3.24	3.39219	2.66847	1.97064	5	2.00761	2.1538
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	992	loss22-0 + rate19kbit	1.7142857142857	7	1	3	5	1.7142857142857	1	1	3.7342746609891	1.97	1	1.332	2.364	2.3	1.863	2.4	1	3.09682	1	1.285	1.1205	1.567702	1.857	2.265884	3.18	1.9349	2.48219	2.14612	2.6871	1.93783	3.7854
sample15_4a30a6c03e108b963d0afe692558e3ec.ogg	1001	loss13-0 + rate44kbit	4.1666666666667	6	1	3	5	4.1666666666667	5	3.65089	3.4187524772629	2.69	1	1.563	3.898	2.7	2.51	2	3.714286	4.5979	3.06507	1.784	1.4431	2.377518	2.557	2.282196	3.75	2.99386	4.13119	2.79937	1	3.06954	4.0155
sample05_e181863bce6738bace6841b174713716.ogg	1012	loss25-0 + delay500-50	2	6	1	3	5	2	1	1	1.6699661427365	2.067	2.851607	1.369	3.669	2.7	2.483	3.47	1	1.16194	3.95942	1.485	1.1282	1.834882	2.135	1	2.3	3.88967	3.16478	1.58584	5	2.64337	1
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	992	loss25-0 + delay500-50	1.1428571428571	7	1	3	5	1.1428571428571	1	1	1.4299264868182	1.283	1	1.138	1	1.7	1.106	1.8	1	0.400149	1	1.099	1.2288	1.202512	1.675	1	1.93	1.2224	2.77243	1.26937	1	1	4.4924
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	1014	loss30-0 + rate14kbit	0.71428571428571	7	1	3	5	0.71428571428571	1	1		1	1	1.144	3.088	1.7	1.443	2.4	1	0.602348	1	1.081	1.0731	1.202846	1.68	1	2.08	3.7513	2.78611	1.37896	5	1.01482	4.877
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	1014	loss90-0 + delay700-10	0.42857142857143	7	1	3	5	0.42857142857143	1			1.393	2.851002	1.155	3.208	1.7	1.164	1.5	1	0	1	1.103	1.0681	1.327352	1.712	1	1.82	2.61761	3.62829	1.41551	4.7202	1	
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1000	loss17-0 + rate28kbit	3.4285714285714	7	1	3	5	3.4285714285714	5	1	1.3149668548679	2.494	3.985757	1.37	3.693	2.7	2.195	2.6	1	4.5543	4.43255	1.544	1.2698	2.009792	2.227	2.893005		3.60793	3.44991	1.94506	4.8138	3.65705	1.6281
sample06_43af06b41db225c41a659da60408148a.ogg	1013	loss30-0 + rate14kbit	0.28571428571429	7	1	3	5	0.28571428571429	1	1	3.3299011480141	1	1	1.13	2.133	1.7	1.062	1.5	1	0	1	1.084	1.0859	1.183493	1.659	1	1.75	2.43315	2.50785	1.2616	1	1	5
sample15_8082d542b11fb2be2869f8f45b292373.ogg	1010	loss13-0 + rate44kbit	4.1428571428571	7	1	3	5	4.1428571428571	5	4.55962	4.0976271726719	2.777	4.290744	1.644	4.099	3.3	2.543	3.24	1	4.70195	3.92518	1.868	1.5224	2.079564	2.686	3.673859	4.68	1.86411	4.50809	2.69894	1	4.24219	2.8034
sample16_2ee9c6bcc64a0b6566f8e9ec99b20ada.ogg	998	loss30-0 + rate14kbit	1.5714285714286	7	1	3	5	1.5714285714286	1	1	3.3166955116962	1.584	1	1.196	4.096	2.3	1.719	1.7	1	3.02633	1	1.166	1.0529	1.384277	1.769	1	3.1	3.90119	3.22307	1.71468	5	2.09045	1.8211
sample15_64900b3ffd4aa70f5e5d9641952094e8.ogg	992	loss17-0 + rate24kbit	2.8571428571429	7	1	3	5	2.8571428571429	1	1	1.6047930923282	2.075	2.056275	1.356	3.694	2.3	2.07	2.3	1	3.53745	1	1.363	1.1461	1.703412	2.04	1		3.98648	2.68753	1.95099	1	2.8189	1.6459
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	988	loss25-0 + rate25kbit	3.2857142857143	7	1	3	5	3.2857142857143	5	3.50986	1.2390837376394	1.971	2.361625	1.181	1.787	2.3	1.759	2.82	1	3.93155	2.52338	1.292	1.0588	1.693493	1.934	3.251602	4.4	2.7087	3.30827	1.86138	1	3.8256	5
sample05_066a3936b4ebc1ca0c3b9e5d4e061e4b.ogg	1014	loss30-0 + rate17kbit	1.8571428571429	7	1	3	5	1.8571428571429	1			1.099	1	1.159	4.037	1.7	1.326	2	1	2.28013	1	1.107	1.1579	1.18997	1.681	1	3.83	3.83101	2.84283	1.42076	3.0377	1.53953	
sample16_28b7af27b8464f83f547e385893de318.ogg	1012	loss22-0 + rate23kbit	2.5	6	1	3	5	2.5	1	1	1.6408354966657	1.739	2.232121	1.201	2.454	2.3	1.833	2.3	1	3.69923	1	1.228	1.0547	1.4625	1.891	1		3.73313	2.5359	2.17772	4.5061	2.63333	4.197
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	992	loss25-0 + delay500-50	3.5	6	1	3	5	3.5	5	1	3.4123079532466	2.29	1	1.291	2.814	2.7	2.057	2.4	1	4.35474	1.19944	1.392	1.0707	1.731847	2.069	2.958099	3.83	2.53557	3.59656	2.0059	1	2.55979	4.9097
sample05_14ae7b1886265e54e7f2c83d67eb802e.ogg	988	loss13-0 + rate44kbit	4.5714285714286	7	1	3	5	4.5714285714286	5	2.90942	1.5588952451006	2.923	4.412828	1.614	4.687	3.3	2.8	4.6	1	4.54278	4.2933	2.179	1.4576	2.830877	2.996	1.456787	4.16	5	5	2.861	5	4.51206	3.1407
sample05_e181863bce6738bace6841b174713716.ogg	992	loss25-0 + rate25kbit	1.75	8	1	3	5	1.75	1	1	1.8575081946486	2.142	4.003903	1.289	4.404	2.3	2.109	2.6	1	4.38652	4.41654	1.366	1.1208	1.806619	2.076	1	2.45	3.58538	3.40563	1.66076	5	2.69242	1
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	1010	loss25-0 + delay500-50	3	7	1	3	5	3	5	1	3.6762527631221	2.534	1.45874	1.586	4.075	2.7	2.493	2.6	1	4.46363	3.92936	1.734	1.1902	2.243373	2.475	1	4.35	3.07971	2.92951	3.15442	2.8183	3.52495	4.0052
sample15_c38cd5c611532af5e79ed0958c415880.ogg	996	loss25-0 + delay500-50	2.6666666666667	6	1	3	5	2.6666666666667	1	1	4.2556159810576	2.644	4.913515	1.372	3.67	2.7	2.554	3.8	1	4.5927	3.22946	1.775	1.1778	2.011239	2.448	3.163879	4.82	2.71308	2.78268	2.98937	2.7446	4.12064	2.3828
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1012	loss25-0 + rate29kbit	3.1428571428571	7	1	3	5	3.1428571428571	5	1	1.2252088767217	2.277	3.971739	1.383	3.057	2.7	2.267	2.6	1	4.03876	4.02451	1.527	1.2363	1.964103	2.24	3.173981		3.41737	2.47242	1.66778	4.5847	3.58306	2.7008
sample06_08332cdbd86d4f09d30cd81c4f436081.ogg	1011	loss25-0 + rate29kbit	3.2857142857143	7	1	3	5	3.2857142857143	5	2.49582	1.8148861450577	2.109	4.043539	1.201	2.302	2.3	1.966	2.235	3	4.24045	2.78323	1.32	1.1157	1.694742	2.011	3.079941	4.83	3.77664	3.74071	1.81626	1	3.58333	
sample15_8082d542b11fb2be2869f8f45b292373.ogg	987	loss17-0 + rate24kbit	2.5714285714286	7	1	3	5	2.5714285714286	1		4.472169760746	2.716	3.156303	1.504	2.615	2.7	2.386	2.3	1	4.45893	1.57577	1.78	1.2248	2.01359	2.664	1	4.67	1	2.39445	2.45608	1	3.71851	
sample06_afb5f1ecdd37621d1be77b20691fefd8.ogg	1001	loss17-0 + rate28kbit	4.3333333333333	6	1	3	5	4.3333333333333	5	3.80587	3.604119186226	1.904	1.105276	1.338	3.146	2.7	2.028	2.3	1	4.82396	2.67338	1.371	1.1614	1.561889	1.982	3.354111	3.78	1.04243	3.35114	1.72825	1	3.19708	5
sample15_8082d542b11fb2be2869f8f45b292373.ogg	1013	loss25-0 + delay500-50	2.7142857142857	7	1	3	5	2.7142857142857	1	1	4.9352465128621	2.572	4.783857	1.461	3.108	2.7	2.502	3.52	1	4.46317	2.0901	1.717	1.1259	1.939359	2.34	3.260803	4.55	1	2.47543	2.83388	1	3.59429	1.325
sample15_64900b3ffd4aa70f5e5d9641952094e8.ogg	992	loss30-0 + rate14kbit	1.5	6	1	3	5	1.5	1	1	1.9630581641088	1.556	1	1.199	3.446	2.3	1.619	1.7	1	2.33574	1	1.176	1.1575	1.352904	1.765	1		3.54757	2.86248	1.52797	1	1.26452	2.4918
sample15_4a30a6c03e108b963d0afe692558e3ec.ogg	1009	loss10-0 + rate64kbit	3.9090909090909	11	1	3	5	3.9090909090909	5	4.15925	3.7290100964472	2.701	2.161883	1.701	4.279	2.7	2.599	2.3	1	4.71745	4.11782	1.85	1.5264	2.445177	2.659	3.173019	4.53	3.64534	4.37504	3.57085	1	4.14243	4.0717
sample05_ff63f34c691af48ef285649054ab4906.ogg	993	loss13-0 + rate44kbit	3.6666666666667	6	1	3	5	3.6666666666667	5	1	1.5038198621751	2.216	2.524381	1.411	4.358	2.7	2.234	3.6	1	4.43177	4.1708	1.45	1.3188	1.860929	2.17	3.14003	4.37	3.94361	4.15319	2.14446	4.6862	4.17	2.4873
sample16_5d5ba5774b0b215e83f8099e87cbe7e2.ogg	998	loss17-0 + rate28kbit	4	6	1	3	5	4	5	1	3.5306139088219	1.797	1	1.236	4.364	2.3	1.836	3.24	1	4.11027	1	1.295	1.2193	1.550956	1.923	2.76947	4.37	4.97457	5	1.79817	4.7341	4.38676	3.0316
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	993	loss10-0 + rate64kbit	5	6	1	3	5	5	5	1	1.2197412426774	3.005	3.400609	2.184	4.683	3.3	2.792	2.3	1	4.76834	4.59871	2.17	1.9159	2.812949	2.987	3.279678		4.42935	4.1527	2.89531	4.7423	4.15198	5
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	984	loss25-0 + delay500-50	2.1666666666667	6	1	3	5	2.1666666666667	1	1.79515	1.3807052386979	1.299	1	1.148	2.877	1.7	1.501	2.82	1	0.229817	1.37574	1.109	1.0618	1.287829	1.708	2.861076	2.45	3.85376	2.23474	1.49487	5	1.86514	5
sample16_28b7af27b8464f83f547e385893de318.ogg	1009	loss22-0 + rate23kbit	1.8333333333333	6	1	3	5	1.8333333333333	1	1	1.4795415460192	1.444	2.327878	1.165	1.79	2.3	1.594	1.5	1	2.96028	1	1.163	1.3069	1.310231	1.802	1.185822		3.45317	2.4908	2.94001	4.4602	2.058	2.7226
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	998	loss22-0 + rate23kbit	1.8571428571429	7	1	3	5	1.8571428571429	1	1.42773	1.7684664183442	1.676	3.708806	1.163	2.77	1.7	1.278	1.7	3.25	0.51144	1	1.104	1.0928	1.326151	1.798	1	2.41	3.89654	2.98527	1.94941	5	2.04948	2.9353
sample05_e181863bce6738bace6841b174713716.ogg	993	loss25-0 + rate29kbit	4.1428571428571	7	1	3	5	4.1428571428571	5	1	1.1527303480374	2.326	3.668422	1.487	4.467	2.7	2.455	4.04	4.8125	4.96221	5	1.549	1.1415	2.068889	2.194	1.30336	3.53	4.47113	3.65479	2.02392	5	4.10158	1
